2026-05-19 20:42:24 -> 
2026-05-19 20:42:24 -> ====================================
2026-05-19 20:42:24 -> REAL AUTO TRADING BOT STARTED
2026-05-19 20:42:24 -> ====================================
2026-05-19 20:42:24 -> MARKET CLOSED | ATM CE = 0 | ATM PE = 0 | WAITING FOR OPEN = 12h 32m 35s
2026-05-19 20:42:40 -> MARKET CLOSED | ATM CE = 0 | ATM PE = 0 | WAITING FOR OPEN = 12h 32m 19s
2026-05-19 20:43:17 -> 
2026-05-19 20:43:17 -> ====================================
2026-05-19 20:43:17 -> REAL AUTO TRADING BOT STARTED
2026-05-19 20:43:17 -> ====================================
2026-05-19 20:43:18 -> LIVE BNF = 53409.15 | ATM = 53400 | CE = 690.25 | PE = 659.0
2026-05-19 20:43:20 -> LIVE BNF = 53409.15 | ATM = 53400 | CE = 690.25 | PE = 659.0
2026-05-19 20:43:22 -> LIVE BNF = 53409.15 | ATM = 53400 | CE = 690.25 | PE = 659.0
2026-05-19 20:43:24 -> LIVE BNF = 53409.15 | ATM = 53400 | CE = 690.25 | PE = 659.0
2026-05-19 20:43:26 -> LIVE BNF = 53409.15 | ATM = 53400 | CE = 690.25 | PE = 659.0
2026-05-19 20:43:28 -> LIVE BNF = 53409.15 | ATM = 53400 | CE = 690.25 | PE = 659.0
2026-05-19 20:43:30 -> LIVE BNF = 53409.15 | ATM = 53400 | CE = 690.25 | PE = 659.0
2026-05-19 20:43:32 -> LIVE BNF = 53409.15 | ATM = 53400 | CE = 690.25 | PE = 659.0
2026-05-19 20:43:34 -> LIVE BNF = 53409.15 | ATM = 53400 | CE = 690.25 | PE = 659.0
2026-05-19 20:43:36 -> LIVE BNF = 53409.15 | ATM = 53400 | CE = 690.25 | PE = 659.0
2026-05-19 20:43:38 -> LIVE BNF = 53409.15 | ATM = 53400 | CE = 690.25 | PE = 659.0
2026-05-19 20:43:41 -> LIVE BNF = 53409.15 | ATM = 53400 | CE = 690.25 | PE = 659.0
2026-05-19 20:43:43 -> LIVE BNF = 53409.15 | ATM = 53400 | CE = 690.25 | PE = 659.0
2026-05-19 20:43:45 -> LIVE BNF = 53409.15 | ATM = 53400 | CE = 690.25 | PE = 659.0
2026-05-19 20:43:47 -> LIVE BNF = 53409.15 | ATM = 53400 | CE = 690.25 | PE = 659.0
2026-05-19 20:43:49 -> LIVE BNF = 53409.15 | ATM = 53400 | CE = 690.25 | PE = 659.0
2026-05-19 20:43:51 -> LIVE BNF = 53409.15 | ATM = 53400 | CE = 690.25 | PE = 659.0
2026-05-19 20:43:53 -> LIVE BNF = 53409.15 | ATM = 53400 | CE = 690.25 | PE = 659.0
2026-05-19 20:43:55 -> LIVE BNF = 53409.15 | ATM = 53400 | CE = 690.25 | PE = 659.0
2026-05-19 20:43:57 -> LIVE BNF = 53409.15 | ATM = 53400 | CE = 690.25 | PE = 659.0
2026-05-19 20:43:59 -> LIVE BNF = 53409.15 | ATM = 53400 | CE = 690.25 | PE = 659.0
2026-05-19 20:44:01 -> LIVE BNF = 53409.15 | ATM = 53400 | CE = 690.25 | PE = 659.0
2026-05-19 20:44:03 -> LIVE BNF = 53409.15 | ATM = 53400 | CE = 690.25 | PE = 659.0
2026-05-19 20:44:06 -> LIVE BNF = 53409.15 | ATM = 53400 | CE = 690.25 | PE = 659.0
2026-05-19 20:44:08 -> LIVE BNF = 53409.15 | ATM = 53400 | CE = 690.25 | PE = 659.0
2026-05-19 20:44:10 -> LIVE BNF = 53409.15 | ATM = 53400 | CE = 690.25 | PE = 659.0
2026-05-19 20:44:12 -> LIVE BNF = 53409.15 | ATM = 53400 | CE = 690.25 | PE = 659.0
2026-05-19 20:44:14 -> LIVE BNF = 53409.15 | ATM = 53400 | CE = 690.25 | PE = 659.0
2026-05-19 20:44:16 -> LIVE BNF = 53409.15 | ATM = 53400 | CE = 690.25 | PE = 659.0
2026-05-19 20:44:18 -> LIVE BNF = 53409.15 | ATM = 53400 | CE = 690.25 | PE = 659.0
2026-05-19 20:44:20 -> LIVE BNF = 53409.15 | ATM = 53400 | CE = 690.25 | PE = 659.0
2026-05-19 20:44:22 -> LIVE BNF = 53409.15 | ATM = 53400 | CE = 690.25 | PE = 659.0
2026-05-19 20:44:24 -> LIVE BNF = 53409.15 | ATM = 53400 | CE = 690.25 | PE = 659.0
2026-05-19 20:44:26 -> LIVE BNF = 53409.15 | ATM = 53400 | CE = 690.25 | PE = 659.0
2026-05-19 20:44:28 -> LIVE BNF = 53409.15 | ATM = 53400 | CE = 690.25 | PE = 659.0
